井上压力（MPa）,注水流量（L/Min）,回水流量（L/Min）,注入量（L）,回流量（L）,,,,,,
0.017272312,0.001409541,-0.018718148,134.6547923,-51.17120935,,,,,,
0.104223928,0.007850401,-0.018718148,134.6547988,-51.17122495,,,,,,
0.070409411,0.011070831,-0.018718148,134.654808,-51.17124055,,,,,,
0.128377155,0.008655509,-0.021133471,134.6548153,-51.17125816,,,,,,
0.012441667,-0.000200675,-0.013082395,134.6548151,-51.17126906,,,,,,
0.06074812,0.002214648,-0.013887503,134.6548169,-51.17128063,,,,,,
0.036594893,0.001409541,-0.015497718,134.6548181,-51.17129355,,,,,,
0.1332078,0.000604433,-0.017913041,134.6548186,-51.17130848,,,,,,
0.022102957,0.007045293,-0.013082395,134.6548245,-51.17131938,,,,,,
0.152530381,0.003824863,-0.017913041,134.6548277,-51.17133431,,,,,,
-0.021372851,0.013486154,-0.026769224,134.6548389,-51.17135661,,,,,,
-0.021372851,0.007850401,-0.012277288,134.6548454,-51.17136684,,,,,,
0.026933603,0.008655509,-0.017107933,134.6548527,-51.1713811,,,,,,
-0.006880915,0.006240186,-0.009056858,134.6548579,-51.17138865,,,,,,
0.055917475,0.007850401,-0.022743686,134.6548644,-51.1714076,,,,,,
0.031764248,0.005435078,-0.019523256,134.6548689,-51.17142387,,,,,,
0.055917475,0.004629971,-0.025159009,134.6548728,-51.17144484,,,,,,
-0.021372851,0.007045293,-0.021133471,134.6548787,-51.17146245,,,,,,
0.138038445,0.007045293,-0.012277288,134.6548845,-51.17147268,,,,,,
0.022102957,0.005435078,-0.017913041,134.6548891,-51.17148761,,,,,,
0.147699736,0.007850401,-0.022743686,134.6548956,-51.17150656,,,,,,
0.012441667,0.005435078,-0.021938579,134.6549001,-51.17152484,,,,,,
0.075240056,0.001409541,-0.021938579,134.6549013,-51.17154312,,,,,,
0.017272312,0.003019756,-0.014692611,134.6549038,-51.17155537,,,,,,
0.055917475,0.007045293,-0.018718148,134.6549097,-51.17157097,,,,,,
0.007611021,0.009460616,-0.021133471,134.6549176,-51.17158858,,,,,,
0.031764248,0.004629971,-0.016302826,134.6549214,-51.17160216,,,,,,
0.012441667,0.003824863,-0.015497718,134.6549246,-51.17161508,,,,,,
0.007611021,0.003824863,-0.010667073,134.6549278,-51.17162397,,,,,,
0.022102957,0.008655509,-0.019523256,134.654935,-51.17164024,,,,,,
0.055917475,0.003019756,-0.017913041,134.6549375,-51.17165516,,,,,,
0.026933603,0.006240186,-0.016302826,134.6549427,-51.17166875,,,,,,
0.041425539,0.004629971,-0.018718148,134.6549466,-51.17168435,,,,,,
0.06074812,0.006240186,-0.021133471,134.6549518,-51.17170196,,,,,,
-0.026203496,0.006240186,-0.016302826,134.654957,-51.17171554,,,,,,
0.002780376,0.009460616,-0.019523256,134.6549649,-51.17173181,,,,,,
0.138038445,0.007850401,-0.009861965,134.6549714,-51.17174003,,,,,,
0.046256184,0.003019756,-0.002615997,134.6549739,-51.17174221,,,,,,
0.075240056,0.011070831,-0.014692611,134.6549832,-51.17175446,,,,,,
-0.006880915,0.004629971,-0.013887503,134.654987,-51.17176603,,,,,,
0.152530381,0.007045293,-0.018718148,134.6549929,-51.17178163,,,,,,
0.046256184,0.007850401,-0.018718148,134.6549994,-51.17179723,,,,,,
0.181514253,0.005435078,-0.018718148,134.655004,-51.17181282,,,,,,
0.022102957,-0.001005782,-0.021133471,134.6550031,-51.17183044,,,,,,
0.138038445,0.011070831,-0.020328363,134.6550124,-51.17184738,,,,,,
0.031764248,0.010265724,-0.025964116,134.6550209,-51.17186901,,,,,,
0.109054573,0.006240186,-0.029989654,134.6550261,-51.171894,,,,,,
0.012441667,0.006240186,-0.020328363,134.6550313,-51.17191094,,,,,,
0.099393283,0.005435078,-0.021133471,134.6550358,-51.17192856,,,,,,
-0.01171156,0.006240186,-0.014692611,134.655041,-51.1719408,,,,,,
0.118715864,0.005435078,-0.017107933,134.6550456,-51.17195506,,,,,,
0.012441667,0.011875939,-0.013887503,134.6550555,-51.17196663,,,,,,
0.026933603,0.010265724,-0.019523256,134.655064,-51.1719829,,,,,,
0.075240056,0.008655509,-0.021938579,134.6550712,-51.17200118,,,,,,
-0.040695432,0.005435078,-0.017107933,134.6550758,-51.17201544,,,,,,
0.109054573,0.004629971,-0.021133471,134.6550796,-51.17203305,,,,,,
0.012441667,0.007850401,-0.017913041,134.6550862,-51.17204798,,,,,,
0.080070701,0.005435078,-0.020328363,134.6550907,-51.17206492,,,,,,
0.046256184,0.004629971,-0.017107933,134.6550946,-51.17207917,,,,,,
0.002780376,0.005435078,-0.013887503,134.6550991,-51.17209075,,,,,,
0.128377155,0.006240186,-0.018718148,134.6551043,-51.17210634,,,,,,
-0.021372851,0.000604433,-0.015497718,134.6551048,-51.17211926,,,,,,
0.162191672,0.007850401,-0.019523256,134.6551113,-51.17213553,,,,,,
0.012441667,0.005435078,-0.013887503,134.6551159,-51.1721471,,,,,,
